,Run,Accuracy,Balanced Accuracy,P%-rule,Equal Odds Ratio,Equal Odds Difference,Number of instances changed,% of predictions changed
0,1,79.74180734856007,79.23494012166721,62.96457945472989,0.9259573900049637,0.007920595378004061,4026,13.326713008937437
1,2,79.59947037404834,79.09116221337258,62.79614665935491,0.9376344238810443,0.006693372037358494,4029,13.33664349553128
2,3,79.61271102284012,79.11206656177181,63.45277464590612,0.9628481226744843,0.004283220030461665,4001,13.243958953988747
3,4,79.51009599470375,79.0074659661099,63.50555927566508,0.9771242892380267,0.002439057866242364,4004,13.25388944058259
4,5,79.44720291294274,78.94490513704132,63.45531636017411,0.9822157573259824,0.0019024422604034252,4065,13.455809334657399
5,6,79.44389275074478,78.93411316724034,62.766221193621384,0.9610035860410081,0.005120555365543122,4046,13.392916252896391
6,7,79.41410129096326,78.91427169596781,63.566057885622094,0.989112392250984,0.0011685101589054558,4073,13.482290632240979
7,8,79.55643826547501,79.05518715030185,63.433455319632536,0.9667942215379042,0.0035579702901595706,4066,13.459119496855346
8,9,79.5630585898709,79.06118661834051,63.35365181115464,0.9615349091956592,0.004128257593791013,4028,13.333333333333334
9,10,79.52333664349554,79.01342194382596,62.691744836272015,0.9465375807056815,0.005728451742408977,4018,13.300231711353858
