,Run,Accuracy,Balanced Accuracy,P%-rule,Number of instances changed,% of predictions changed
0,1,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
1,2,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
2,3,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
3,4,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
4,5,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
5,6,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
6,7,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
7,8,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
8,9,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
9,10,76.20986428334989,75.32226801294372,96.90593315381241,5209,17.242634889109567
