,lfr,adv,eq,adveq,roc
0,19.704433497536947,39.10572186434255,11.064797271693823,20.46229632436529,12.9973474801061
1,20.0454717696097,29.329291398256917,11.10269041303524,20.08336491095112,12.9973474801061
2,19.666540356195526,29.291398256915496,11.25426297840091,18.87078438802577,12.9973474801061
3,18.681318681318682,37.13527851458886,11.25426297840091,18.87078438802577,12.9973474801061
4,20.917014020462297,38.12050018946571,11.25426297840091,20.31072375899962,12.9973474801061
5,19.477074649488443,36.52898825312618,11.10269041303524,24.40318302387268,12.9973474801061
6,20.841227737779462,41.720348616900345,11.178476695718075,18.87078438802577,12.9973474801061
7,19.856006062902615,21.106479727169383,11.292156119742327,20.31072375899962,12.9973474801061
8,19.666540356195526,50.20841227737779,11.064797271693823,20.61386888973096,12.9973474801061
9,20.0454717696097,4.319818112921562,11.10269041303524,19.060250094732854,12.9973474801061
