,lfr,adv,roc,adv_eo,eo
0,7.8,5.16,0.9066666666666667,5.220000000000001,1.5133333333333334
1,7.886666666666667,5.193333333333333,0.9066666666666667,5.006666666666667,1.6400000000000001
2,7.84,5.193333333333333,0.9066666666666667,4.866666666666666,1.58
3,7.973333333333334,5.193333333333333,0.9066666666666667,6.619999999999999,1.6533333333333333
4,7.853333333333333,5.193333333333333,0.9066666666666667,5.673333333333333,1.5266666666666666
5,7.920000000000001,4.593333333333334,0.9066666666666667,4.846666666666667,1.4866666666666668
6,7.9399999999999995,4.58,0.9066666666666667,5.766666666666667,1.4666666666666666
7,7.946666666666667,5.06,0.9066666666666667,5.58,1.6
8,7.826666666666666,5.206666666666666,0.9066666666666667,5.4,1.5
9,7.773333333333333,4.873333333333333,0.9066666666666667,4.833333333333333,1.5466666666666666
