,method,% of predictions changed
0,LFR,20.357497517378352
1,LFR,20.18205892088713
2,LFR,19.589539887454485
3,LFR,17.586891757696126
4,LFR,25.80933465739821
5,LFR,16.630254882489243
6,LFR,22.899702085402183
7,LFR,15.948361469712015
0,"Adversarial 
 (DP)",18.325057927838465
1,"Adversarial 
 (DP)",23.19761668321748
2,"Adversarial 
 (DP)",17.941079112876533
3,"Adversarial 
 (DP)",18.02714333002317
4,"Adversarial 
 (DP)",21.65508109897385
5,"Adversarial 
 (DP)",19.788149619331342
6,"Adversarial 
 (DP)",21.241310824230386
7,"Adversarial 
 (DP)",18.78186031115525
8,"Adversarial 
 (DP)",18.258854683879512
9,"Adversarial 
 (DP)",18.076795762992383
0,"Adversarial 
 (EO)",12.20125786163522
1,"Adversarial 
 (EO)",11.377027474346244
2,"Adversarial 
 (EO)",12.711022840119163
3,"Adversarial 
 (EO)",12.092022509102945
4,"Adversarial 
 (EO)",12.343594836146972
5,"Adversarial 
 (EO)",13.475670307845084
6,"Adversarial 
 (EO)",12.161535915259847
7,"Adversarial 
 (EO)",11.42336974511751
8,"Adversarial 
 (EO)",13.58159549817941
9,"Adversarial 
 (EO)",11.529294935451835
0,"Threshold 
 Optimizer",13.326713008937435
1,"Threshold 
 Optimizer",13.33664349553128
2,"Threshold 
 Optimizer",13.243958953988749
3,"Threshold 
 Optimizer",13.25388944058259
4,"Threshold 
 Optimizer",13.4558093346574
5,"Threshold 
 Optimizer",13.392916252896391
6,"Threshold 
 Optimizer",13.48229063224098
7,"Threshold 
 Optimizer",13.459119496855346
8,"Threshold 
 Optimizer",13.333333333333334
9,"Threshold 
 Optimizer",13.300231711353858
0,ROC,17.242634889109567
1,ROC,17.242634889109567
2,ROC,17.242634889109567
3,ROC,17.242634889109567
4,ROC,17.242634889109567
5,ROC,17.242634889109567
6,ROC,17.242634889109567
7,ROC,17.242634889109567
8,ROC,17.242634889109567
9,ROC,17.242634889109567
